Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2011-02-16,386.30731201171875,390.95777955015285,380.8465155354929,389.301942337391,2464592
2011-02-17,390.7815856933594,392.6312101210585,384.8628133286345,389.30190335380826,1477760
2011-02-18,383.9114685058594,398.95510304588726,381.2339261377348,391.1514426060584,4076928
2011-02-21,401.1395568847656,404.45127452837664,372.8138666875704,384.0173251184064,5657800
2011-02-22,401.1924133300781,404.3455659182941,394.5866106956641,395.5202394026335,3305400
2011-02-23,396.5418701171875,403.3766382054577,395.67868626641814,397.4578659737735,1879344
2011-02-24,391.6975402832031,401.19225976617355,384.47519883406454,394.2341503212718,5378830
2011-02-25,391.0810241699219,393.5295570312079,383.40066288201615,389.40755470179454,3070474
2011-02-28,391.151611328125,404.53937195002885,387.54043905511145,387.96319324055975,3229396
2011-03-01,396.1720886230469,398.8144102456995,386.6949531351588,392.12052880164623,3167804
2011-03-03,405.2261657714844,406.91726772306697,390.0064202332772,394.55121909746003,3452600
2011-03-04,400.06488037109375,409.85905402655436,398.9903197026238,409.85905402655436,2061198
2011-03-07,390.4469299316406,396.3481129466237,385.585042543553,395.99580351289336,4184588
2011-03-08,393.7763366699219,397.687006780602,389.35487796001865,389.35487796001865,3947902
2011-03-09,396.9470520019531,400.9281661088074,394.0581316280325,395.48500214588074,2424486
2011-03-10,390.5527038574219,395.2912493136952,387.54044050362273,395.2912493136952,1871324
2011-03-11,379.4549865722656,388.38602432305095,374.6107306613676,387.5404728718421,5012882
2011-03-14,386.6773681640625,388.24512847662083,372.8844405247698,377.32353230350355,3248618
2011-03-15,383.9468078613281,385.9373216000123,375.43852710512607,378.73261144992154,3411868
2011-03-16,392.77227783203125,395.80213124205017,384.42255902668904,384.7220135311526,2677874
2011-03-17,386.83587646484375,394.19915448155643,384.95102901962366,389.3020432546925,2056102
2011-03-18,381.4630126953125,390.7111346840005,379.12014652354094,385.25033884306094,2211348
2011-03-21,377.2530212402344,384.5458105221002,375.7380732220063,384.5458105221002,2619090
2011-03-22,376.79498291015625,380.4942323917426,374.50497132631705,378.7679073656968,2657774
2011-03-23,374.98065185546875,377.3235189075088,372.4792627123844,377.3235189075088,4352248
2011-03-24,385.21533203125,385.9728062859101,376.9712786446288,377.3235882508387,3094834
2011-03-25,394.4632568359375,397.58118665009914,388.86152836955864,393.476773241995,4146434
2011-03-28,394.5513916015625,396.94707023947245,390.35890022706013,395.9429968320713,2248642
2011-03-29,401.1748046875,405.82531582464856,394.2871798653079,394.5866343347023,3159588
2011-03-30,405.84283447265625,410.0881803463768,403.3590787718946,404.4512294137806,2294770
2011-03-31,417.0992431640625,422.06679872132923,405.8605610408775,405.8605610408775,7394126
2011-04-01,415.7780456542969,422.3309934476746,413.10050218035565,417.48673804837904,1799624
2011-04-04,427.4219055175781,428.4083894063249,417.13448442194795,417.4867939527097,2311616
2011-04-05,436.81085205078125,438.25531215833126,424.0924898253405,428.0736037133301,2891014
2011-04-06,430.46929931640625,439.3122580422973,427.7565337134622,436.51141507553655,2422352
2011-04-07,422.48956298828125,429.81761827292485,421.06273522334453,429.81761827292485,2149016
2011-04-08,421.3621826171875,427.7037539274796,417.39870054825496,421.6792697840087,1983768
2011-04-11,415.1614685058594,421.0097968312478,414.06931780157703,415.7780100493361,2256232
2011-04-13,426.3298645019531,430.310980428699,413.7172058524495,413.96380538495424,3757530
2011-04-15,419.7416076660156,429.7824298695948,415.7252701832766,428.72550121658645,7566770
2011-04-18,403.2533264160156,427.1751430268212,401.65034446671245,422.06665678031493,7765454
2011-04-19,410.33489990234375,411.9907805275865,401.63287155460796,403.2534868209774,3120224
2011-04-20,429.35955810546875,431.22681560440685,415.5666759821691,415.6547533546373,5338548
2011-04-21,419.9881591796875,438.9072057115988,412.5015820759662,437.21610285732186,17333968
2011-04-25,422.0137634277344,424.1804746194939,413.135584649932,421.7143090693806,4191552
2011-04-26,418.8960266113281,423.4760504514856,415.84854060868577,422.7714313991537,3155246
2011-04-27,415.9365539550781,420.99218627591745,414.33357166172914,420.99218627591745,1774478
2011-04-28,408.2032775878906,416.95815720504555,407.1287167608856,415.777929366436,2846194
2011-04-29,410.66943359375,412.90658953472115,405.2438605907107,412.90658953472115,1866696
2011-05-02,408.13299560546875,414.84450997584617,406.0367709105416,412.20218825625483,1543070
2011-05-03,401.0868225097656,409.38373028748526,398.46213335210484,409.38373028748526,2120156
2011-05-04,400.5935363769531,403.74668921665227,392.8779496832868,403.74668921665227,2722934
2011-05-05,392.8247985839844,403.39407567593014,390.39385625153716,403.39407567593014,1885596
2011-05-06,404.7859802246094,406.389005641934,394.4985600932428,394.5866374676776,2405348
2011-05-09,400.06488037109375,405.84271902824577,396.1718450380578,405.15573303136193,1012232
2011-05-10,401.5974426269531,408.66121939538874,397.40495269842427,399.1664994745697,1529158
2011-05-11,401.7208557128906,405.7547817665073,396.73566832768955,401.28046889452526,1460670
2011-05-12,391.6801452636719,399.4838104582695,390.48228418303324,399.4838104582695,2540458
2011-05-13,397.0879211425781,402.4430498939716,391.76805773684384,391.76805773684384,2365488
2011-05-16,398.4972229003906,404.23988431967297,394.58659648298055,394.9389059441261,2227368
2011-05-17,402.2316589355469,404.873979659937,395.30881304286265,395.30881304286265,1391414
2011-05-18,406.93505859375,409.2074374060073,402.42548030737134,402.42548030737134,2225180
2011-05-19,410.38763427734375,412.2020364579289,407.26970439774857,410.44048929357876,2050922
2011-05-20,413.9636535644531,416.92306190187946,409.8240170288086,413.52326669895905,2050600
2011-05-23,410.9866638183594,412.3782691386841,405.15592439939064,410.0882573920789,2017284
2011-05-24,405.1207580566406,413.18865531133275,401.3334304136762,409.6127047959706,1681994
2011-05-25,397.6165466308594,405.12075719378333,394.5866931242483,404.83889235322283,1867470
2011-05-26,400.1355895996094,402.68983395320583,394.5867139348998,401.2805956891526,2060218
2011-05-27,403.2357482910156,405.1205950139204,400.329195688264,404.6449859165922,1286704
2011-05-30,405.84283447265625,408.6613099389544,402.4430828466522,405.5081577136424,1140868
2011-05-31,407.67498779296875,414.9149229469085,405.1911883639353,406.91751368998774,2644154
2011-06-01,414.1046142578125,414.6683008828548,407.62211055349445,407.62211055349445,982386
2011-06-02,411.409423828125,412.9067392220616,407.49879692997314,408.29149331499843,1697654
2011-06-03,405.89569091796875,413.9635855699558,405.15584970676525,410.7928006592072,1367808
2011-06-06,410.2115783691406,411.4975167101665,401.6328502136899,401.6328502136899,1357074
2011-06-07,415.4786376953125,416.83502075761714,407.97442765245955,409.73597526753923,1837442
2011-06-08,419.0610656738281,420.33803331752773,412.7116470590241,415.69126709448926,2127670
2011-06-09,420.81707763671875,423.45973630783175,416.7910619957918,416.7910619957918,2693966
2011-06-10,421.8280029296875,424.77216132621004,420.37367684115026,420.8880407202027,3774550
2011-06-13,416.89752197265625,422.2891851347385,415.92205346436515,421.82803724707423,3229400
2011-06-14,422.4841613769531,423.8498081928421,417.8551040669741,417.8551040669741,2125782
2011-06-15,420.072021484375,427.4323714491635,419.007874501514,420.6927738910439,2812382
2011-06-16,408.3309631347656,420.6573329979428,407.30227900411876,419.6286488672959,2337520
2011-06-17,393.4505615234375,410.40598604577355,391.60605755793773,409.69655478208165,3788146
2011-06-20,379.29742431640625,396.926773056082,375.28912054810974,395.50791059654284,5310408
2011-06-21,392.5815124511719,393.98262183013094,377.1336298794369,381.31929151570796,3425946
2011-06-22,384.33447265625,396.1819860571587,383.0929676684356,395.8627332573835,3570834
2011-06-23,389.123291015625,390.54215442862636,379.58142590313577,383.7316273663298,2428236
2011-06-24,403.5779113769531,404.6420588031283,389.8326737888565,390.18738959758156,4151588
2011-06-27,408.1361389160156,409.5904655636781,397.99127201490813,397.99127201490813,3125218
2011-06-28,409.34197998046875,412.17970601152916,402.83295455677643,411.4702745037641,2133332
2011-06-29,414.9642028808594,418.17439767196043,409.5902507196361,409.5902507196361,2958704
2011-06-30,420.05438232421875,422.8211825502739,413.95328862094766,414.94651006113753,5172916
2011-07-01,422.78558349609375,424.94934025805907,418.4580266719138,424.94934025805907,1920840
2011-07-04,420.5865478515625,425.6590016074943,418.56468491403604,423.1759907647839,1603734
2011-07-05,418.3694152832031,422.4663989406393,416.2234112771345,422.0407574204994,2061136
2011-07-06,419.5578308105469,423.1404514337653,415.62045111644255,417.9438567341156,1490178
2011-07-07,424.20452880859375,425.6588545683172,419.6641503730952,419.6641503730952,2602634
2011-07-08,415.6028137207031,427.43257807201945,414.7514870628288,424.2401355801952,3412060
